tour,player,elo,peak_elo,matches,wins,losses,last_date
WTA,Muguruza G.,1747.05,1803.29,118,74,44,
WTA,Sakkari M.,1743.0,1838.55,285,169,116,
WTA,Garcia C.,1739.36,1739.36,231,128,103,
WTA,Bouzkova M.,1737.66,1749.68,230,127,103,
WTA,Mertens E.,1730.03,1775.74,293,176,117,
WTA,Kerber A.,1721.6,1721.6,95,56,39,
WTA,Andreeva M.,1720.5,1916.7,128,88,40,
WTA,Samsonova L.,1719.29,1765.92,257,146,111,
WTA,Brady J.,1714.47,1751.2,62,39,23,
WTA,Pliskova Ka.,1695.16,1716.3,187,107,80,
WTA,Haddad Maia B.,1694.91,1750.18,205,115,90,
WTA,Kasatkina D.,1694.75,1801.89,306,183,123,
WTA,Mboko V.,1693.16,1721.03,31,20,11,
WTA,Keys M.,1688.98,1906.49,219,138,81,
WTA,Collins D.,1684.29,1822.95,214,136,78,
WTA,Anisimova A.,1683.81,1914.69,194,122,72,
WTA,Noskova L.,1682.82,1758.11,151,90,61,
WTA,Alexandrova E.,1681.84,1790.84,296,178,118,
WTA,Svitolina E.,1675.98,1859.92,209,135,74,
WTA,Bencic B.,1670.1,1834.8,210,138,72,
WTA,Kessler M.,1657.93,1681.12,72,39,33,2025-10-22
WTA,Shnaider D.,1656.69,1732.42,141,85,56,
WTA,Joint M.,1654.64,1679.39,55,33,22,2025-11-01
WTA,Sorribes Tormo S.,1651.53,1717.05,171,93,78,
WTA,Zhang S.,1648.56,1648.56,175,79,96,
WTA,Cirstea S.,1645.05,1698.13,213,113,100,
WTA,Kudermetova V.,1644.02,1790.91,284,159,125,
WTA,Begu I.,1639.13,1681.66,143,77,66,
WTA,Fernandez L.A.,1630.18,1757.42,223,127,96,
WTA,Teichmann J.,1626.33,1668.7,150,71,79,
WTA,Andreescu B.,1625.73,1692.7,125,68,57,
WTA,Raducanu E.,1624.64,1741.66,142,79,63,
WTA,Boisson L.,1622.49,1650.5,20,14,6,2025-09-29
WTA,Boulter K.,1621.76,1642.57,136,69,67,
WTA,Pavlyuchenkova A.,1619.68,1692.61,162,88,74,
WTA,Giorgi C.,1619.54,1691.15,127,67,60,
WTA,Cornet A.,1619.39,1636.9,156,76,80,
WTA,Osorio M.,1618.83,1626.8,161,84,77,
WTA,Stephens S.,1618.16,1638.01,169,79,90,
WTA,Tomljanovic A.,1617.09,1658.41,176,83,93,
WTA,Paolini J.,1615.37,1852.68,253,147,106,
WTA,Williams S.,1613.45,1704.99,44,31,13,
WTA,Valentova T.,1610.2,1623.6,13,9,4,2025-10-19
WTA,Potapova A.,1608.96,1722.62,217,120,97,
WTA,Riske A.,1608.69,1647.75,86,45,41,
WTA,Wozniacki C.,1607.25,1629.74,41,24,17,
WTA,Tjen J.,1606.32,1606.32,13,10,3,2025-11-02
WTA,Lys E.,1602.09,1677.05,75,40,35,
WTA,Tauson C.,1601.18,1759.86,154,86,68,
WTA,Sasnovich A.,1599.81,1665.8,169,84,85,
WTA,Jovic I.,1599.72,1616.7,26,15,11,2025-10-09
WTA,Cristian J.,1596.91,1649.73,136,68,68,
WTA,Juvan K.,1595.2,1595.2,88,41,47,
WTA,Kostyuk M.,1593.9,1748.4,213,116,97,
WTA,Vekic D.,1589.52,1686.45,197,99,98,
WTA,Kalinina A.,1587.58,1673.46,174,86,88,
WTA,Martic P.,1586.55,1647.53,176,86,90,
WTA,Navarro E.,1584.62,1755.44,158,92,66,
WTA,Kanepi K.,1584.38,1639.67,88,42,46,
WTA,Bronzetti L.,1583.29,1600.49,158,69,89,
WTA,Burel C.,1582.93,1630.2,109,51,58,
WTA,Konta J.,1582.84,1591.18,35,18,17,
WTA,Stearns P.,1582.79,1695.15,112,54,58,
WTA,Li A.,1581.37,1664.55,136,73,63,
WTA,Tsurenko L.,1580.25,1664.41,102,50,52,
WTA,Siniakova K.,1579.98,1730.63,219,109,110,
WTA,Linette M.,1578.4,1663.1,243,121,122,
WTA,Golubic V.,1575.84,1585.4,138,62,76,
WTA,Rogers S.,1575.67,1654.25,135,68,67,
WTA,Fruhvirtova L.,1574.49,1585.25,82,36,46,
WTA,Maria T.,1572.11,1610.59,154,69,85,
WTA,Kalinskaya A.,1571.31,1743.63,189,104,85,
WTA,Townsend T.,1571.06,1632.48,72,34,38,
WTA,Sevastova A.,1569.52,1572.75,72,31,41,
WTA,Watson H.,1562.85,1562.85,89,37,52,
WTA,Kuznetsova S.,1561.49,1592.35,28,12,16,
WTA,Martincova T.,1560.91,1565.0,118,52,66,
WTA,Kartal S.,1559.7,1609.29,43,22,21,
WTA,McNally C.,1558.91,1576.53,23,12,11,2025-10-24
WTA,Arango E.,1557.88,1576.52,48,21,27,
WTA,Bertens K.,1556.02,1610.35,27,14,13,
WTA,Siegemund L.,1551.88,1641.81,131,65,66,
WTA,Bellis C.,1551.64,1559.86,14,7,7,
WTA,Zhu L.,1551.02,1632.39,134,61,73,
WTA,Rakotomanga Rajaonah T.,1550.62,1588.95,12,8,4,2025-10-27
WTA,Zanevska M.,1547.7,1570.18,52,24,28,
WTA,Putintseva Y.,1547.09,1765.55,249,136,113,
WTA,Kenin S.,1545.95,1724.31,197,101,96,
WTA,Seidel E.,1545.41,1598.43,32,17,15,
WTA,Sawangkaew M.,1544.91,1556.12,12,7,5,2025-01-31
WTA,Bouzas Maneiro J.,1544.63,1652.74,69,34,35,
WTA,Tagger L.,1543.96,1560.42,5,4,1,2025-11-02
WTA,Sramkova R.,1542.56,1663.12,84,45,39,
WTA,Bogdan A.,1542.04,1590.52,106,47,59,
WTA,Sun L.,1541.06,1611.24,60,27,33,
WTA,Pironkova T.,1539.22,1550.1,16,8,8,
WTA,Parry D.,1538.32,1567.79,107,51,56,
WTA,Frech M.,1536.7,1647.52,169,72,97,
WTA,Wang Xin.,1533.71,1636.96,184,86,98,
WTA,Boskovic L.,1529.15,1547.98,6,4,2,2025-04-04
WTA,Saville D.,1528.28,1592.0,80,38,42,
WTA,Bouchard E.,1526.83,1605.68,37,21,16,
WTA,Niemeier J.,1525.46,1585.18,87,37,50,
WTA,Zvonareva V.,1525.41,1528.49,52,21,31,
WTA,Masarova R.,1524.97,1563.34,63,27,36,
WTA,Ruzic A.,1523.6,1545.96,23,11,12,2025-10-14
WTA,Salkova D.,1522.82,1540.41,12,7,5,
WTA,Zheng S.,1521.56,1555.94,44,17,27,
WTA,Goerges J.,1521.18,1544.34,12,6,6,
WTA,Wang Q.,1520.9,1577.97,65,29,36,
WTA,Ruse E.G.,1520.82,1628.34,98,44,54,
WTA,Pareja J.,1520.57,1543.78,5,3,2,2025-08-25
WTA,Ito A.,1519.52,1550.57,16,7,9,2025-08-12
WTA,Sonmez Z.,1518.61,1573.16,41,19,22,
WTA,Gavrilova D.,1518.3,1518.3,6,3,3,
WTA,Krueger A.,1517.89,1651.66,103,44,59,
WTA,Konjuh A.,1517.22,1571.26,53,23,30,
WTA,Schmiedlova A.,1516.1,1532.68,110,45,65,
WTA,Korpatsch T.,1515.44,1538.82,76,27,49,
WTA,Cocciaretto E.,1515.11,1598.63,143,65,78,
WTA,Avanesyan E.,1514.59,1620.25,103,51,52,
WTA,Lamens S.,1514.2,1589.02,62,30,32,
WTA,Pera B.,1514.17,1626.63,163,68,95,
WTA,Riera J.,1512.99,1532.37,23,11,12,
WTA,Iatcenko P.,1512.7,1529.03,3,2,1,2025-10-31
WTA,Hruncakova V.,1512.52,1538.61,17,7,10,
WTA,Pohankova M.,1512.15,1526.39,3,2,1,2025-10-31
WTA,Bucsa C.,1511.97,1562.81,118,44,74,
WTA,Siskova A.,1511.66,1534.3,5,3,2,
WTA,Da Silva Fick G.,1510.65,1521.83,2,1,1,
WTA,Danilovic O.,1510.5,1655.44,78,41,37,
WTA,Timofeeva M.,1510.32,1555.37,22,11,11,
WTA,Dolehide C.,1507.32,1566.84,104,42,62,
WTA,Ishii S.,1506.78,1520.11,4,2,2,2025-03-19
WTA,Sonobe W.,1506.42,1519.87,5,2,3,2025-10-23
WTA,Morvayova V.,1506.14,1516.0,2,1,1,2025-10-29
WTA,Tararudee L.,1506.0,1538.26,8,4,4,
WTA,Garland J.,1505.2,1521.51,8,4,4,2025-11-01
WTA,Jones E.,1505.03,1517.82,3,1,2,2025-01-14
WTA,Bolsova Zadoinov A.,1504.81,1518.36,2,1,1,2025-05-21
WTA,Blinkova A.,1504.69,1627.79,181,78,103,
WTA,Peterson R.,1503.85,1569.87,83,36,47,
WTA,Hanatani N.,1503.69,1514.96,2,1,1,
WTA,Sakatsume H.,1503.51,1549.51,7,3,4,
WTA,Stakusic M.,1503.35,1514.7,20,9,11,
WTA,Noha Akugue N.,1502.63,1538.95,10,5,5,
WTA,Berberovic N.,1502.6,1520.2,2,1,1,
WTA,Smitkova T.,1501.74,1514.77,2,1,1,
WTA,Davis L.,1501.61,1543.55,112,46,66,
WTA,Gasparyan M.,1501.52,1516.0,17,7,10,
WTA,Yamalapalli S.,1501.51,1516.0,2,1,1,2025-10-30
WTA,Vesnina E.,1500.84,1500.84,5,2,3,
WTA,Petkovic A.,1500.49,1558.37,48,19,29,
WTA,Routliffe E.,1500.3,1500.3,2,1,1,
WTA,Nara K.,1500.24,1532.05,6,3,3,2021-09-06
WTA,Turati B.,1499.77,1515.18,2,1,1,2021-08-01
WTA,Anshba A.,1499.63,1519.03,4,2,2,
WTA,Zuger J.,1499.12,1513.39,2,1,1,
WTA,Vidmanova D.,1499.06,1515.09,2,1,1,2025-09-10
WTA,Candiotto A.,1498.75,1516.0,2,1,1,2025-09-11
WTA,Pieri T.,1498.41,1515.34,2,1,1,2025-05-21
WTA,Bhamidipaty S.R.,1498.25,1516.0,2,1,1,2025-10-30
WTA,Plipuech P.,1497.83,1515.23,2,1,1,2020-12-02
WTA,Leme Da Silva N.V.,1497.71,1514.48,2,1,1,2025-09-10
WTA,Branstine C.,1497.63,1523.57,4,1,3,2025-07-29
WTA,Fernandez L.,1497.59,1532.09,6,3,3,
WTA,Yastremska D.,1497.51,1690.58,179,82,97,
WTA,Brace C.,1497.4,1513.38,2,1,1,
WTA,Lansere S.,1497.37,1519.54,4,2,2,
WTA,Garcia Perez G.,1497.29,1513.56,4,2,2,2021-10-06
WTA,Trevisan M.,1497.21,1659.42,125,50,75,
WTA,Thandi K.,1497.15,1510.79,2,1,1,
WTA,Lizarazo Y.,1496.7,1513.39,2,1,1,2022-06-04
WTA,Sierra S.,1496.63,1520.48,13,6,7,2025-09-12
WTA,Okalova M.,1496.61,1511.82,2,1,1,2025-09-10
WTA,Jakupovic D.,1496.02,1513.01,4,2,2,
WTA,Schmiedlova A.K.,1495.49,1500.0,1,0,1,
WTA,Werner C.,1495.22,1516.0,3,1,2,2025-10-29
WTA,Abanda F.,1495.09,1514.06,2,1,1,
WTA,Suarez Navarro C.,1494.95,1510.83,8,2,6,
WTA,Avdeeva J.,1494.79,1500.0,1,0,1,2024-05-27
WTA,Gracheva V.,1494.73,1610.61,182,77,105,
WTA,Wang Xiy.,1494.1,1602.6,134,59,75,
WTA,Chang H.,1493.94,1514.16,2,1,1,2025-04-03
WTA,Middendorf J.,1493.89,1500.0,1,0,1,
WTA,Fita Boluda A.,1493.79,1500.0,1,0,1,
WTA,Hives Z.,1493.33,1500.0,1,0,1,
WTA,Ahn A.,1493.05,1500.0,1,0,1,2025-08-25
WTA,Wagner S.,1492.98,1500.0,1,0,1,
WTA,Larsson J.,1492.79,1500.0,1,0,1,
WTA,Jeong B.,1492.7,1500.0,1,0,1,
WTA,Gleason Q.,1492.31,1500.0,1,0,1,
WTA,Naito Y.,1492.18,1500.0,1,0,1,
WTA,Romero Gormaz L.,1491.72,1509.24,7,3,4,2025-07-18
WTA,Sobolieva A.,1491.51,1500.0,1,0,1,2025-05-25
WTA,Gerlach K.,1491.5,1500.0,1,0,1,
WTA,Zarazua R.,1491.47,1529.44,60,22,38,
WTA,Robbe A.,1491.12,1500.0,1,0,1,2024-04-16
WTA,Fung S.,1491.01,1500.0,1,0,1,
WTA,Yang Zha.,1490.94,1500.0,1,0,1,2021-07-01
WTA,Sidorova K.,1490.88,1500.0,1,0,1,2025-10-27
WTA,Stollar F.,1490.52,1508.26,5,2,3,
WTA,Arseneault A.,1490.2,1500.0,1,0,1,2025-07-28
WTA,Glatch A.,1490.07,1500.0,1,0,1,
WTA,Hovde L.,1489.97,1500.0,1,0,1,2024-03-08
WTA,Stevanovic N.,1489.74,1533.35,9,4,5,
WTA,Bartunkova N.,1489.66,1547.64,9,4,5,
WTA,Nuudi M.,1489.25,1500.0,1,0,1,
WTA,Harrison C.,1489.08,1500.0,1,0,1,
WTA,Baszak W.,1488.94,1500.0,1,0,1,
WTA,Birrell K.,1488.77,1565.83,74,33,41,
WTA,Zhang R.,1488.66,1500.0,1,0,1,2025-09-24
WTA,Schuurs D.,1488.64,1500.0,1,0,1,
WTA,Hewitt D.,1488.61,1500.0,1,0,1,
WTA,Tona M.,1488.22,1500.0,1,0,1,2025-09-10
WTA,Koevermans A.,1488.21,1500.0,1,0,1,2025-06-11
WTA,Piter K.,1488.14,1500.0,1,0,1,
WTA,Wickmayer Y.,1487.9,1500.0,27,10,17,
WTA,Lodikova D.,1487.69,1500.0,1,0,1,2025-07-15
WTA,Bhatia R.,1487.59,1500.0,1,0,1,
WTA,Babel O.,1487.52,1500.0,1,0,1,2021-01-06
WTA,Lao D.,1487.49,1500.0,1,0,1,
WTA,Sugnaux T.,1487.44,1500.0,1,0,1,
WTA,Yashina E.,1487.39,1500.0,1,0,1,
WTA,Schoofs B.,1487.36,1500.0,1,0,1,2020-12-02
WTA,Urgesi F.,1487.35,1500.0,1,0,1,2025-05-07
WTA,Wu H.C.,1487.31,1500.0,1,0,1,2023-11-10
WTA,Van den Broek I.L.,1487.29,1500.0,1,0,1,2025-06-11
WTA,Hui K.,1487.26,1500.0,1,0,1,2024-02-28
WTA,Toth A.,1487.04,1505.49,3,1,2,
WTA,Georges M.,1486.95,1500.0,1,0,1,
WTA,Lazaro A.,1486.95,1500.0,1,0,1,
WTA,Maristany G.,1486.82,1500.0,1,0,1,2025-07-14
WTA,Gervais J.,1486.71,1500.0,1,0,1,
WTA,Jiang X.,1486.69,1500.0,1,0,1,
WTA,Kotliar Y.,1486.68,1500.0,1,0,1,2025-05-19
WTA,Pieri J.,1486.55,1500.0,1,0,1,
WTA,Zaja A.,1486.31,1515.5,3,1,2,
WTA,Yu E.,1486.3,1500.0,1,0,1,
WTA,Samudio A.,1486.24,1500.0,1,0,1,2023-03-04
WTA,Tkacheva M.,1486.18,1500.0,1,0,1,
WTA,Gibbs N.,1486.16,1500.0,1,0,1,2020-06-01
WTA,Stusek J.,1486.1,1500.0,1,0,1,2024-06-25
WTA,Pigato L.,1486.08,1516.0,4,1,3,
WTA,Ewald W.,1486.01,1500.0,1,0,1,
WTA,Higuita Barraza M.,1485.89,1500.0,1,0,1,2025-04-01
WTA,Kostovic T.,1485.84,1500.0,1,0,1,2025-04-23
WTA,Bassols Ribera M.,1485.62,1500.0,1,0,1,
WTA,Adkar V.,1485.58,1500.0,1,0,1,2025-10-29
WTA,Glozman V.,1485.52,1500.0,1,0,1,2025-08-26
WTA,Kung L.,1485.47,1545.82,15,7,8,
WTA,Kubka M.,1485.39,1500.0,1,0,1,
WTA,Noel A.,1485.35,1500.0,1,0,1,2024-08-27
WTA,Duerst J.,1485.34,1500.0,1,0,1,
WTA,Hozumi E.,1485.32,1500.0,1,0,1,
WTA,Grey S.,1485.26,1500.0,1,0,1,2021-06-06
WTA,Dart H.,1485.01,1543.2,94,37,57,
WTA,Wuerth T.,1484.98,1500.0,1,0,1,2025-07-14
WTA,Lovric P.,1484.96,1500.0,1,0,1,
WTA,Xu M.,1484.95,1513.62,4,1,3,2025-06-30
WTA,Kobori M.,1484.94,1500.0,1,0,1,2025-10-27
WTA,Ciric Bagaric L.,1484.93,1500.0,1,0,1,2024-05-28
WTA,Ruse E-G.,1484.9,1500.0,1,0,1,
WTA,Hunter S.,1484.87,1515.64,19,8,11,
WTA,Han X.,1484.85,1500.0,1,0,1,2020-11-02
WTA,Knutson G.,1484.84,1500.0,1,0,1,2023-01-08
WTA,Bechri C.,1484.83,1500.0,1,0,1,2024-09-09
WTA,Zucchini A.,1484.55,1500.0,1,0,1,2025-05-07
WTA,Yang Y.,1484.5,1500.0,1,0,1,
WTA,Tian F.,1484.48,1500.0,1,0,1,2023-01-10
WTA,Moore T.,1484.4,1516.0,3,1,2,
WTA,Zantedeschi A.,1484.29,1500.0,1,0,1,
WTA,Yao X.,1484.26,1500.0,3,1,2,2024-10-30
WTA,Shinikova I.,1484.11,1500.0,2,0,2,
WTA,Ivanov V.,1484.07,1500.0,1,0,1,2020-06-01
WTA,Curmi F.,1484.03,1500.0,1,0,1,
WTA,Komardina A.,1484.0,1500.0,1,0,1,2020-02-03
WTA,Hourigan P.M.,1484.0,1500.0,1,0,1,2020-07-01
WTA,Cheapchandej P.,1484.0,1500.0,1,0,1,2020-10-02
WTA,Cherubini D.,1484.0,1500.0,1,0,1,2023-09-05
WTA,Sanchez Uribe M.J.,1484.0,1500.0,1,0,1,2025-04-01
WTA,Steiner V.,1484.0,1500.0,1,0,1,2025-07-15
WTA,Strakhova V.,1484.0,1500.0,1,0,1,2025-09-09
WTA,Wong Hong Yi C.,1484.0,1500.0,1,0,1,2025-10-27
WTA,Zhu C.,1484.0,1500.0,1,0,1,2025-10-28
WTA,Rajeshwaran Revathi M.,1484.0,1500.0,1,0,1,2025-10-29
WTA,Nugroho P.M.,1484.0,1500.0,1,0,1,2025-10-29
WTA,Seguel D.,1483.99,1517.46,3,1,2,2022-05-04
WTA,Samson L.,1483.81,1500.0,1,0,1,2025-07-22
WTA,Hradecka L.,1483.77,1500.0,1,0,1,2021-07-01
WTA,Kalashnikova O.,1483.66,1500.0,1,0,1,2021-03-02
WTA,Reyngold E.,1483.65,1500.0,1,0,1,
WTA,Rajecki A.,1483.63,1500.0,1,0,1,2024-06-18
WTA,Iliev S.,1483.63,1500.0,1,0,1,
WTA,Vrancken Peeters A.,1483.5,1500.0,1,0,1,2025-06-09
WTA,Papadakis L.,1483.4,1500.0,2,0,2,
WTA,Olyanovskaya V.,1483.39,1500.0,1,0,1,
WTA,Kovackova A.,1483.29,1500.0,1,0,1,2025-07-22
WTA,Sutjiadi A.,1483.28,1500.0,1,0,1,
WTA,Duan Y.Y.,1483.26,1500.0,1,0,1,2020-07-01
WTA,Muramatsu C.,1483.26,1500.0,1,0,1,2020-11-02
WTA,Plazas J.,1483.26,1500.0,1,0,1,2021-06-04
WTA,Kostic N.,1483.23,1500.0,1,0,1,2020-10-02
WTA,Vicens Mas R.,1483.08,1500.0,1,0,1,2023-04-04
WTA,Liu F.,1483.07,1500.0,1,0,1,2024-10-29
WTA,Ghioroaie I.G,1483.03,1500.0,1,0,1,
WTA,Yang V.,1483.0,1500.0,1,0,1,2024-12-31
WTA,Wang M.,1482.93,1500.0,1,0,1,2024-09-26
WTA,Barry M.,1482.9,1500.0,1,0,1,2024-01-01
WTA,Falkner Z.,1482.87,1500.0,1,0,1,
WTA,Geerlings Martinez A.,1482.86,1500.0,1,0,1,2025-07-15
WTA,Havlickova L.,1482.83,1501.21,6,2,4,
WTA,Spiteri D.,1482.82,1500.0,1,0,1,2023-09-05
WTA,Mediorreal Arias V.,1482.75,1500.0,1,0,1,2024-04-02
WTA,Marcinko P.,1482.74,1517.08,5,2,3,
WTA,Rogers A.S.,1482.69,1500.0,1,0,1,2025-09-09
WTA,Tjandramulia O.,1482.68,1500.0,1,0,1,
WTA,Raducànu E.,1482.63,1500.0,1,0,1,2021-03-08
WTA,Chwalinska M.,1482.58,1512.46,10,4,6,
WTA,Benoit M.,1482.5,1500.0,1,0,1,2024-07-22
WTA,Saito S.,1482.44,1535.83,5,2,3,2024-10-28
WTA,Hobgarski K.,1482.44,1500.0,1,0,1,
WTA,Burillo I.,1482.36,1500.0,4,1,3,
WTA,Talaba G.,1482.31,1500.0,1,0,1,2021-06-04
WTA,Kichenok N.,1482.23,1500.0,1,0,1,2022-04-04
WTA,Ignatik A.,1482.21,1500.0,1,0,1,
WTA,Ormaechea P.,1482.16,1514.62,6,2,4,
WTA,Kulambayeva Z.,1482.14,1500.0,1,0,1,
WTA,Bjorklund M.,1482.13,1515.18,16,6,10,
WTA,Mcnally C.,1482.12,1531.97,60,25,35,
WTA,Matoula M.,1482.1,1500.0,1,0,1,
WTA,Popa G.S.,1482.09,1500.0,1,0,1,2025-07-15
WTA,Dabrowski G.,1481.99,1500.0,1,0,1,2021-02-02
WTA,Baptiste H.,1481.98,1621.49,86,37,49,
WTA,Jani R-L.,1481.97,1500.0,1,0,1,
WTA,Morderger Y.,1481.95,1500.0,1,0,1,
WTA,Burillo Escorihuela I.,1481.9,1500.0,3,1,2,2025-07-17
WTA,Krawczyk D.,1481.89,1500.0,1,0,1,2021-05-04
WTA,Herrero Linana A.,1481.59,1500.0,1,0,1,2025-07-15
WTA,Ortenzi J.,1481.54,1500.0,1,0,1,2025-09-09
WTA,Mitu A.,1481.46,1500.0,1,0,1,2024-02-06
WTA,Hibi M.,1481.44,1500.0,3,1,2,
WTA,Fullana L.,1481.38,1500.0,1,0,1,2025-09-09
WTA,Falkowska W.,1481.38,1513.13,3,1,2,
WTA,Rapolu M.,1481.35,1500.0,1,0,1,2025-02-24
WTA,Harrison Ca.,1481.29,1500.0,4,1,3,
WTA,Caregaro M.,1481.27,1500.0,1,0,1,
WTA,Korneeva A.,1481.02,1533.87,11,5,6,2025-10-27
WTA,Peng S.,1481.0,1516.0,5,2,3,
WTA,Guth M.,1480.74,1500.0,1,0,1,
WTA,Barros V.L.,1480.72,1500.0,1,0,1,2025-09-08
WTA,Grabher J.,1480.67,1512.33,49,18,31,
WTA,Kozlova K.,1480.62,1500.0,28,11,17,
WTA,Paganetti V.,1480.59,1500.0,1,0,1,2024-05-07
WTA,Lew Yan Foon A.,1480.57,1500.0,1,0,1,2025-10-29
WTA,Mediorreal A.V.,1480.55,1500.0,1,0,1,2025-04-01
WTA,Torres Murcia M.C.,1480.48,1500.0,1,0,1,2025-04-01
WTA,Hosogi S.,1480.46,1500.0,1,0,1,
WTA,Bains N.,1480.41,1500.0,1,0,1,
WTA,Herazo M.,1480.35,1500.0,1,0,1,2022-04-04
WTA,Urhobo A.,1480.21,1500.0,1,0,1,2024-10-30
WTA,Perrin C.,1480.17,1500.0,1,0,1,
WTA,Mishina D.,1479.98,1500.0,1,0,1,
WTA,Higuita Barraza M. I.,1479.74,1500.0,1,0,1,2024-04-01
WTA,Ren Y.,1479.52,1500.0,1,0,1,2024-09-26
WTA,Abduraimova N.,1479.33,1500.0,2,0,2,
WTA,Wurth T.,1479.23,1500.0,2,0,2,
WTA,Radisic N.,1479.23,1500.0,1,0,1,
WTA,Friedsam A.L.,1479.22,1532.25,51,20,31,
WTA,Diyas Z.,1479.12,1522.06,43,18,25,
WTA,Rodina E.,1478.87,1506.35,15,5,10,
WTA,Chang S.,1478.57,1500.0,2,0,2,
WTA,Radivojevic L.,1478.24,1500.0,1,0,1,
WTA,Laskutova K.,1478.14,1500.0,1,0,1,2024-09-17
WTA,Zheng W.,1477.46,1500.0,3,1,2,2025-10-29
WTA,Makarova E.,1477.22,1511.85,10,4,6,
WTA,Malygina E.,1477.01,1500.0,2,0,2,
WTA,Gasanova A.,1476.87,1523.53,26,11,15,
WTA,Pattinama Kerkhove L.,1476.75,1500.0,13,4,9,
WTA,Liu C.,1476.44,1549.35,86,35,51,
WTA,Bejlek S.,1476.32,1529.75,17,6,11,
WTA,Mateas M.,1476.21,1515.38,6,2,4,
WTA,Crawley F.,1475.79,1500.0,2,0,2,
WTA,Kawa K.,1475.44,1503.25,28,11,17,
WTA,Vedder E.,1475.15,1500.0,3,0,3,
WTA,Sebov K.,1475.14,1503.68,10,3,7,
WTA,Selekhmeteva O.,1474.78,1531.16,14,5,9,
WTA,Klugman H.,1474.75,1500.0,2,0,2,2025-06-30
WTA,Volodko K.,1474.62,1500.0,2,0,2,
WTA,Podoroska N.,1474.59,1546.85,113,47,66,
WTA,Mattek-Sands B.,1474.46,1502.03,6,2,4,
WTA,Sharapova M.,1474.22,1500.0,2,0,2,
WTA,Charaeva A.,1473.54,1500.0,2,0,2,2025-10-29
WTA,Zidansek T.,1473.32,1614.87,111,52,59,
WTA,Murray S.,1473.23,1500.0,2,0,2,
WTA,Yamaguchi M.,1473.2,1500.0,4,1,3,2025-10-30
WTA,Sharma A.,1473.03,1539.04,58,23,35,
WTA,Inoue H.,1472.86,1500.0,2,0,2,2025-08-25
WTA,Zueger J.,1472.8,1500.0,2,0,2,
WTA,Cadantu A.,1472.77,1508.95,3,1,2,
WTA,Min G.,1472.62,1504.58,8,3,5,
WTA,Prisacariu A.,1472.61,1500.0,2,0,2,
WTA,Gabueva A.,1472.55,1500.0,2,0,2,
WTA,Hontama M.,1472.26,1500.0,37,13,24,
WTA,Vandeweghe C.,1472.14,1513.05,27,9,18,
WTA,Ristic M.,1472.12,1500.0,2,0,2,
WTA,Kiick A.,1472.03,1500.0,2,0,2,2022-04-04
WTA,Naef C.,1471.96,1501.55,9,3,6,
WTA,Ku Y.,1471.77,1500.0,2,0,2,2025-09-15
WTA,Shi H.,1471.2,1500.0,6,2,4,2025-09-24
WTA,Burrage J.,1471.18,1539.59,46,19,27,
WTA,Mansouri Y.,1470.82,1500.0,2,0,2,2025-09-09
WTA,Zacarias M.,1470.81,1515.32,4,1,3,
WTA,Paoletti M.,1470.72,1500.0,4,1,3,
WTA,Dulgheru A.,1470.61,1500.0,2,0,2,
WTA,Janicijevic S.,1470.59,1530.58,9,4,5,
WTA,Topalova G.,1470.38,1500.0,2,0,2,2024-07-22
WTA,Swan K.,1470.36,1517.42,11,4,7,
WTA,Stojsavljevic M.,1470.33,1500.0,2,0,2,2025-06-30
WTA,Erjavec V.,1470.32,1510.17,7,2,5,2025-10-28
WTA,Martinez Cirez C.,1470.26,1500.0,2,0,2,2025-05-19
WTA,Pridankina E.,1470.06,1500.0,6,2,4,2025-10-29
WTA,Snigur D.,1469.88,1500.0,17,6,11,
WTA,Kucova K.,1469.79,1500.0,33,12,21,
WTA,Silva E.,1469.73,1500.0,2,0,2,2022-07-06
WTA,Tig P.M.,1469.64,1544.83,40,17,23,
WTA,Pedone G.,1469.52,1500.0,2,0,2,2025-05-06
WTA,Lottner A.,1469.47,1500.0,2,0,2,
WTA,Rodriguez V.,1469.25,1500.0,4,1,3,2025-09-10
WTA,Chong E.,1468.89,1500.0,4,1,3,2025-10-30
WTA,Olmos G.,1468.28,1500.0,2,0,2,2022-11-01
WTA,Anderson R.,1468.11,1500.0,2,0,2,
WTA,Monroy Y.,1468.1,1500.0,2,0,2,2024-04-03
WTA,Kabbaj Y.,1467.99,1500.0,2,0,2,2025-05-20
WTA,Shymanovich I.,1467.8,1500.0,10,3,7,
WTA,Flink V.,1467.29,1500.0,2,0,2,2020-11-02
WTA,Appleton E.,1467.15,1500.0,2,0,2,
WTA,Soboleva A.,1466.98,1500.0,2,0,2,
WTA,Park S.,1466.96,1500.0,2,0,2,
WTA,Mendez S.,1466.94,1500.0,2,0,2,2022-05-01
WTA,Ferrando C.,1466.86,1500.0,2,0,2,
WTA,Cross K.,1466.83,1500.0,2,0,2,
WTA,Wong C.,1466.33,1500.0,2,0,2,2024-10-29
WTA,Grant T.C.,1466.06,1500.0,2,0,2,2025-05-07
WTA,Galfi D.,1465.88,1545.56,62,26,36,
WTA,Hibino N.,1465.71,1502.16,96,33,63,
WTA,Hesse A.,1465.52,1500.0,3,0,3,
WTA,Di Giuseppe M.,1465.46,1500.0,5,1,4,
WTA,Miyazaki Y.,1465.05,1515.92,12,4,8,
