tour,player,elo,peak_elo,matches,wins,losses,last_date
ATP,Kovalik J.,1508.2,1536.26,4,2,2,2024-07-15
ATP,Bailly G.A.,1508.2,1515.78,2,1,1,2025-10-15
ATP,Jubb P.,1507.98,1542.77,5,3,2,2024-07-02
ATP,Brooksby J.,1507.77,1642.93,65,32,33,
ATP,Ficovich J.P.,1506.73,1517.41,6,3,3,2025-07-29
ATP,Den Ouden G.,1506.34,1519.19,2,1,1,2026-12-02
ATP,Sachko V.,1505.86,1532.21,7,3,4,
ATP,Bennani K.,1505.73,1505.73,2,1,1,
ATP,Tseng C. H.,1503.57,1518.86,2,1,1,2024-07-25
ATP,Nanda G.,1502.92,1517.03,2,1,1,2025-07-17
ATP,Hong S.,1502.8,1519.28,4,2,2,2024-08-01
ATP,Wu Y.,1502.72,1557.77,28,12,16,
ATP,Winter E.,1501.32,1515.58,2,1,1,
ATP,Arseneault N.,1500.52,1515.2,2,1,1,2025-07-29
ATP,Droguet T.,1500.47,1554.35,23,12,11,
ATP,Jorda Sanchis D.,1500.08,1516.0,2,1,1,2024-04-04
ATP,Tarvet O.,1499.7,1516.26,3,1,2,
ATP,Tirante T. A.,1499.26,1516.0,2,1,1,
ATP,Hussey G.,1498.99,1519.47,4,2,2,
ATP,Gombos N.,1497.66,1513.08,2,1,1,2025-07-23
ATP,Arnaldi M.,1496.99,1601.26,114,55,59,
ATP,Bueno G.,1496.88,1516.0,2,1,1,
ATP,Svajda Z.,1494.72,1517.27,39,15,24,
ATP,Alvarez Valdes L.C.,1494.62,1515.36,2,1,1,2025-07-17
ATP,Denolly C.,1494.48,1513.46,2,1,1,2025-04-03
ATP,Harris L.,1494.11,1500.0,8,3,5,2025-08-27
ATP,Kwon S.,1493.73,1500.0,3,1,2,
ATP,Monday J.,1493.63,1500.0,1,0,1,2025-07-01
ATP,Otte O.,1493.48,1500.0,1,0,1,2024-06-18
ATP,Svrcina D.,1493.36,1530.4,20,8,12,
ATP,Samrej K.,1492.88,1500.0,1,0,1,2025-01-14
ATP,Kachmazov A.,1491.45,1538.78,6,3,3,2025-07-15
ATP,Mpetshi Perricard G.,1491.31,1500.0,1,0,1,2025-10-27
ATP,Boogaard T.,1490.73,1517.69,3,1,2,2026-12-06
ATP,Altmaier D.,1490.71,1545.68,119,47,72,
ATP,Bolt A.,1490.61,1527.18,10,4,6,
ATP,Faurel T.,1490.34,1500.0,1,0,1,
ATP,Bernet H.,1489.27,1500.0,1,0,1,2025-10-20
ATP,Diallo G.,1489.12,1660.96,90,42,48,
ATP,Kecmanovic M.,1489.1,1608.01,135,59,76,
ATP,Omarkhanov A.,1488.97,1500.0,1,0,1,2025-10-13
ATP,Bertola R.,1488.85,1500.0,1,0,1,2025-10-20
ATP,Reis Da Silva J.,1488.57,1500.0,1,0,1,
ATP,Brouwer G.,1488.05,1516.64,5,2,3,2024-06-24
ATP,Sakellaridis S.,1487.95,1500.0,3,1,2,
ATP,Basavareddy N.,1487.92,1541.91,27,10,17,
ATP,Samuel T.,1487.91,1531.27,6,2,4,
ATP,Ruusuvuori E.,1487.76,1581.11,30,15,15,2025-10-14
ATP,Baadi T.,1487.54,1500.0,3,1,2,
ATP,Huesler M.,1487.45,1500.0,1,0,1,
ATP,Yevseyev D.,1487.35,1516.41,3,1,2,2024-09-19
ATP,Ugo Carabelli C.,1487.17,1532.02,84,35,49,
ATP,Sell K.,1486.99,1500.0,1,0,1,2025-05-20
ATP,Marcondes I.,1486.84,1500.0,1,0,1,
ATP,Martin D.,1486.6,1500.0,1,0,1,2025-07-28
ATP,Luz O.,1486.58,1500.0,1,0,1,
ATP,Onclin G.,1486.4,1502.33,3,1,2,2026-10-06
ATP,Watt J.,1486.4,1500.0,1,0,1,2026-12-01
ATP,Sesko Z.,1486.38,1500.0,1,0,1,
ATP,Gomez F.A.,1486.08,1512.37,6,2,4,
ATP,Hardt N.,1485.99,1516.1,3,1,2,2024-07-16
ATP,Vesely J.,1485.98,1500.0,1,0,1,2024-01-16
ATP,Chidekh C.,1485.96,1500.0,1,0,1,2025-02-11
ATP,Cadenasso G.,1485.93,1500.0,1,0,1,2026-07-05
ATP,Dietrich D.,1485.54,1500.0,1,0,1,
ATP,Sanchez Izquierdo N.,1485.5,1500.0,1,0,1,2024-05-20
ATP,Janvier M.,1485.5,1500.0,1,0,1,2024-07-01
ATP,Ramos A.,1485.48,1500.0,2,0,2,2025-05-26
ATP,Kolar Z.,1485.43,1500.0,1,0,1,
ATP,Soto M.,1485.41,1500.0,1,0,1,
ATP,Klein L.,1485.19,1516.0,18,8,10,2025-01-13
ATP,Ivanov I.,1485.12,1500.0,1,0,1,2025-11-04
ATP,Zheng M.,1485.07,1514.47,11,4,7,
ATP,Popyrin A.,1485.02,1629.24,112,51,61,
ATP,Lajal M.,1485.0,1514.1,4,1,3,2025-10-14
ATP,Landaluce M.,1484.9,1532.68,30,12,18,
ATP,Turcanu R.D.,1484.88,1500.0,1,0,1,
ATP,Andreozzi G.,1484.87,1500.0,1,0,1,2024-07-22
ATP,Varillas J. P.,1484.74,1500.0,1,0,1,2024-01-16
ATP,Becroft I.,1484.74,1500.0,1,0,1,2025-01-06
ATP,Kasnikowski M.,1484.71,1500.0,1,0,1,2024-08-26
ATP,Rodesch C.,1484.66,1500.0,1,0,1,2025-06-30
ATP,Kumar O.,1484.6,1500.0,1,0,1,2024-08-19
ATP,Neff A.,1484.57,1500.0,1,0,1,2024-02-07
ATP,Dahlin M.,1484.5,1500.0,1,0,1,
ATP,Rejchtman Vinciguerra W.,1484.48,1500.0,1,0,1,2025-07-14
ATP,Papamalamis T.,1484.41,1500.0,1,0,1,2024-11-04
ATP,Sousa J.,1484.27,1500.0,1,0,1,2024-04-03
ATP,Miguel L.,1484.05,1500.0,1,0,1,
ATP,Couacaud E.,1484.0,1500.0,1,0,1,2024-07-22
ATP,Chan D.,1484.0,1500.0,1,0,1,2026-04-08
ATP,Stewart H.,1484.0,1500.0,1,0,1,
ATP,Pereira T.,1484.0,1500.0,1,0,1,
ATP,Krumich M.,1484.0,1500.0,1,0,1,
ATP,Evans D.,1483.97,1516.74,38,13,25,2025-07-24
ATP,Barranco Cosano J.,1483.97,1500.0,1,0,1,2024-05-20
ATP,Ghibaudo A.,1483.96,1500.0,1,0,1,
ATP,Rincon D.,1483.94,1500.0,1,0,1,2024-04-15
ATP,Rehberg M.,1483.85,1500.0,1,0,1,2024-04-15
ATP,Escoffier A.,1483.84,1500.0,1,0,1,2024-01-30
ATP,Mannarino A.,1483.78,1572.15,102,38,64,
ATP,McDonald N.,1483.78,1500.0,1,0,1,
ATP,Schoenhaus M.,1483.78,1500.0,2,0,2,
ATP,Suresh D.,1483.77,1500.0,1,0,1,2025-08-18
ATP,Damas M.,1483.69,1500.0,1,0,1,
ATP,Sandgren T.,1483.57,1500.0,1,0,1,2024-02-06
ATP,Added D.,1483.55,1500.0,1,0,1,2025-11-05
ATP,Johnson S.,1483.52,1500.0,1,0,1,2024-02-06
ATP,Hemery C.,1483.45,1500.0,1,0,1,2025-07-15
ATP,Moller E.,1483.4,1500.0,13,4,9,
ATP,Valkusz M.,1483.3,1500.0,1,0,1,2024-01-16
ATP,Lalami Laaroussi Y.,1483.28,1500.0,1,0,1,2025-04-01
ATP,Pannu K.,1483.26,1500.0,1,0,1,2024-01-09
ATP,Popko D.,1483.24,1500.0,1,0,1,2025-02-11
ATP,Moutet C.,1483.23,1653.27,110,51,59,
ATP,Martineau M.,1483.18,1500.0,1,0,1,2024-06-11
ATP,Gentzsch T.,1483.07,1500.0,1,0,1,2026-09-06
ATP,Cecchinato M.,1483.05,1500.0,1,0,1,
ATP,Llamas Ruiz P.,1483.04,1533.65,16,7,9,
ATP,Zayid M.S.,1482.93,1500.0,1,0,1,
ATP,Van Rijthoven T.,1482.92,1500.0,1,0,1,2024-06-11
ATP,Giron M.,1482.89,1633.92,129,60,69,
ATP,Molleker R.,1482.67,1515.26,3,1,2,2024-07-15
ATP,Crawford O.,1482.62,1500.0,1,0,1,2025-06-30
ATP,Hernandez A.,1482.49,1509.39,3,1,2,
